Time,Away Team,Home Team,Away Pitcher,Home Pitcher,NRFI Confidence %,Pick
11:15 PM,Atlanta Braves,Cincinnati Reds,TBD,TBD,70,NRFI
03:35 PM,Houston Astros,Boston Red Sox,Framber Valdez,Lucas Giolito,70,NRFI
04:10 PM,Los Angeles Dodgers,Tampa Bay Rays,Yoshinobu Yamamoto,Joe Boyle,70,NRFI
05:35 PM,Milwaukee Brewers,Washington Nationals,Logan Henderson,Brad Lord,70,NRFI
05:37 PM,Kansas City Royals,Toronto Blue Jays,Seth Lugo,Chris Bassitt,70,NRFI
05:40 PM,Minnesota Twins,Cleveland Guardians,Jose Urena,Joey Cantillo,70,NRFI
05:40 PM,New York Yankees,Miami Marlins,Luis Gil,Edward Cabrera,70,NRFI
05:40 PM,San Francisco Giants,New York Mets,Carson Whisenhunt,Frankie Montas,70,NRFI
06:20 PM,Baltimore Orioles,Chicago Cubs,Brandon Young,Colin Rea,70,NRFI
07:10 PM,Pittsburgh Pirates,Colorado Rockies,Mitch Keller,Bradley Blalock,70,NRFI
08:05 PM,Arizona Diamondbacks,Athletics,Eduardo Rodriguez,Jack Perkins,70,NRFI
08:07 PM,Chicago White Sox,Los Angeles Angels,Sean Burke,Jack Kochanowicz,70,NRFI
08:10 PM,St. Louis Cardinals,San Diego Padres,Andre Pallante,Dylan Cease,70,NRFI
08:10 PM,Texas Rangers,Seattle Mariners,Jacob deGrom,Logan Evans,70,NRFI
11:00 PM,Detroit Tigers,Philadelphia Phillies,Charlie Morton,Cristopher Sanchez,70,NRFI
